,id,speaker_id,utterance_order,transcript_id,corpus_id,gloss,num_tokens,stem,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_id,target_child_age,target_child_name,target_child_sex,type,media_end,media_start,media_unit,collection_id,collection_name,num_morphemes,language,corpus_name,Rating.Mean,Conc.M,SUBTLEX
5375,9714151,14790,1710,25305,198,it,13,I do think the garage be go to be very happy be it,pro:sub mod v det:art n aux part inf cop adv adj aux pro:per,INV,Jeannine,Investigator,14768.0,42.033717324791105,Thomas,male,question,2834.23,2831.815,s,13,Eng-UK,17.0,eng,Thomas,4.4,2.81,963712.0
5376,9718705,14790,1409,25313,198,mr,2,Mr snake,n:prop n,INV,Jeannine,Investigator,14768.0,43.1980122795129,Thomas,male,question,2952.4120000000007,2951.268,s,13,Eng-UK,2.0,eng,Thomas,,,
5377,9718705,14790,1409,25313,198,snake,2,Mr snake,n:prop n,INV,Jeannine,Investigator,14768.0,43.1980122795129,Thomas,male,question,2952.4120000000007,2951.268,s,13,Eng-UK,2.0,eng,Thomas,5.1,5.0,1140.0
5378,9718709,14770,1410,25313,198,that,4,that be a voice,pro:dem cop det:art n,MOT,Mother,Mother,14768.0,43.1980122795129,Thomas,male,declarative,2953.823,2952.7490000000007,s,13,Eng-UK,6.0,eng,Thomas,5.53,1.54,719677.0
5379,9718709,14770,1410,25313,198,isn,4,that be a voice,pro:dem cop det:art n,MOT,Mother,Mother,14768.0,43.1980122795129,Thomas,male,declarative,2953.823,2952.7490000000007,s,13,Eng-UK,6.0,eng,Thomas,,,
5380,9718709,14770,1410,25313,198,voic,4,that be a voice,pro:dem cop det:art n,MOT,Mother,Mother,14768.0,43.1980122795129,Thomas,male,declarative,2953.823,2952.7490000000007,s,13,Eng-UK,6.0,eng,Thomas,,,
5381,9734416,14790,134,25334,198,mr_train_driv,12,Mr_Train_Driver what be these thing I can see out of the window,n:prop pro:int aux pro:dem n pro:sub mod v adv prep det:art n,INV,Jeannine,Investigator,14768.0,48.132405182858,Thomas,male,question,197.101,193.177,s,13,Eng-UK,14.0,eng,Thomas,,,
5382,9734416,14790,134,25334,198,what,12,Mr_Train_Driver what be these thing I can see out of the window,n:prop pro:int aux pro:dem n pro:sub mod v adv prep det:art n,INV,Jeannine,Investigator,14768.0,48.132405182858,Thomas,male,question,197.101,193.177,s,13,Eng-UK,14.0,eng,Thomas,3.86,2.0,501965.0
5383,9734416,14790,134,25334,198,are,12,Mr_Train_Driver what be these thing I can see out of the window,n:prop pro:int aux pro:dem n pro:sub mod v adv prep det:art n,INV,Jeannine,Investigator,14768.0,48.132405182858,Thomas,male,question,197.101,193.177,s,13,Eng-UK,14.0,eng,Thomas,,1.96,265672.0
5384,9734416,14790,134,25334,198,these,12,Mr_Train_Driver what be these thing I can see out of the window,n:prop pro:int aux pro:dem n pro:sub mod v adv prep det:art n,INV,Jeannine,Investigator,14768.0,48.132405182858,Thomas,male,question,197.101,193.177,s,13,Eng-UK,14.0,eng,Thomas,6.42,2.03,46104.0
5385,9734416,14790,134,25334,198,thing,12,Mr_Train_Driver what be these thing I can see out of the window,n:prop pro:int aux pro:dem n pro:sub mod v adv prep det:art n,INV,Jeannine,Investigator,14768.0,48.132405182858,Thomas,male,question,197.101,193.177,s,13,Eng-UK,14.0,eng,Thomas,4.58,3.17,55522.0
5386,9734416,14790,134,25334,198,can,12,Mr_Train_Driver what be these thing I can see out of the window,n:prop pro:int aux pro:dem n pro:sub mod v adv prep det:art n,INV,Jeannine,Investigator,14768.0,48.132405182858,Thomas,male,question,197.101,193.177,s,13,Eng-UK,14.0,eng,Thomas,4.32,4.55,267620.0
5387,9734416,14790,134,25334,198,see,12,Mr_Train_Driver what be these thing I can see out of the window,n:prop pro:int aux pro:dem n pro:sub mod v adv prep det:art n,INV,Jeannine,Investigator,14768.0,48.132405182858,Thomas,male,question,197.101,193.177,s,13,Eng-UK,14.0,eng,Thomas,3.06,3.21,130393.0
5388,9734416,14790,134,25334,198,out,12,Mr_Train_Driver what be these thing I can see out of the window,n:prop pro:int aux pro:dem n pro:sub mod v adv prep det:art n,INV,Jeannine,Investigator,14768.0,48.132405182858,Thomas,male,question,197.101,193.177,s,13,Eng-UK,14.0,eng,Thomas,3.28,2.73,197131.0
